establecimiento,tipo,testeo-distribucion,calle,altura,piso_dpto,cruce,,barrio_localidad,partido_comuna_dpto,provincia,web_estab,mail_estab,tel_estab,horario_atencion,responsable,,uc_mail,uc_web,ubicación,Comentarios
“ADONIS”,BOLICHE BAILABLE,Distribución,CAROLINA MARTÍNEZ,,,,BAHÍA BLANCA,BAHÍA BLANCA,Buenos Aires,,,,,,,,,,CAROLINA MARTÍNEZ
11 de Febrero,,Distribución,Cabo Sosa,,,El Callao,Grand Bourg,,Buenos Aires,,,(02320) 480546,De 8 a 18hs,,,,,,Caino Margarita
ACCIÓN SOCIAL,Municipal,Distribución,Buen Viaje,968,,,,Morón,Buenos Aires,,,(011) 4489-7860,,,,,,,2 Dispensers - Referente: Patricia Ramos y Lucas Jaime
ACCIÓN SOCIAL,Salud,Distribución,Alcorta,340,,,,Moreno,Buenos Aires,,,(0237) 4667788,Lunes a Viernes de 8:00 a 18:00 hs.,,,,,,2 Dispensers
AMAS ASOCIACION MUTUAL DE ACCION SOLIDARIA,,Distribución,Esturla,,,Zarate,Avellaneda,,Buenos Aires,,,,,,,,,,
ASOCIACION CIVIL AMERICA MORENA,,Distribución,Doyhennard,815,,,Lavallol,,Buenos Aires,,,4231-8202/4298-0206,,,,,,,
ASOCIACIÓN CIVIL LAZOS,ONG,Distribución,,,,,Barrio Villa Zapiola,Moreno,Buenos Aires,,,(011) 50953916,,,,,,,Referente: Esther
ASOCIACIÓN DECIDIR,ONG,Distribución,A. Alcorta,2442,,,Moreno Sur,Moreno,Buenos Aires,,,(011) 15 51131769,"Lunes de 17:30 a 20:00, Martes 15:00 a 18:00 y Jueves 18:30 a 21:00 hs.",,,,,,Contacto: Licenciada Teodori
ATTA / INADI,,Distribución,CORRIENTES ,301,,,BAHÍA BLANCA,BAHÍA BLANCA,Buenos Aires,,,0291-4530332,16 A 18 HS,,,,,,RESPONSABLE: PATRICIA FERNÁNDEZ
ATTA MAR DEL PLATA,Salud,Distribución,Santiago del Estero,1356,,,Mar del Plata,General Pueyrredón,Buenos Aires,,danielavirginiamacchiavello@yahoo.com.ar,,,,,,,,Referente: Daniela Virginia Macchiavello
ATTTA,,Distribución,,,,,BAHÍA BLANCA,BAHÍA BLANCA,Buenos Aires,,,0291-4530332,,,,,,,RESPONSABLE: CAROLINA MARTÍNEZ
BAR CENTRAL,Confitería,Distribución,Irigoyen ,,,Presidente Perón,Rojas,,Buenos Aires,,,(02474) 15-471748,De 7 a 3 hs,,,,,,
BARRIO BICENTENARIO,Salud,Distribución,,,,,,General Rodríguez,Buenos Aires,,,,De 08:00 a 17:00 hs.,,,,,,Sala de Enfermería. Referente: Marcela Calabrese
BARRIO NAMUNCURA SUM,,Distribución,Arrollo Sarandi,,,Morse,Avellaneda,,Buenos Aires,,,,,,,,,,
Barrio Panamericano,,Distribución,Stopler,,,Capitán Giachino,Pablo Nogués,,Buenos Aires,,,,,,,,,,Cerca de la iglesia de Itati. Referente: Aguirre Patricia.
Barrio San Calal,Boca externa,Distribución,Jose Marti,459,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,"Martes, jueves y sábados de 8 a 10hs",,,,,,Boca externa.
Barrio San Calal,Boca externa,Distribución,Jose Marti,560,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,Lunes a viernes de 11 a 16hs,,,,,,Vecina Delia Lazarte. Boca externa.
Barrio San Calal,Boca externa,Distribución,Rawson,4506,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,,,,,,,Vecina Noemí Sandez. Boca externa.
Barrio San Calal,Boca externa,Distribución,Husares,485,,,Barrio San Calal,Adolfo Sourdeaux,Buenos Aires,,,,"Martes, jueves y sábados de 8 a 10hs.",,,,,,Manzanera Antonia López. Boca externa.
