"establecimiento","tipo","distribución-testeo","calle","altura","piso_depto","cruce","barrio_localidad","partido_comuna_dpto","provincia","región sanitaria","teléfono","horario atención","web","mail","unidad coordinadora","responsable","UC mail","UC web","observaciones","latitude","longitude","confidence","fail"
"Hospital Zonal General de Agudos “Julio de Vedia”","","Testeo","Tomás Cosentino","1223","","","9 de Julio","9 de Julio","Buenos Aires","Región Sanitaria II","(02317) 43-0004/0025/0525/0125","","","direccion-vedia@ms.gba.gov.ar","","","","","","-35.4433127","-60.8850382","0.5",""
"Hospital Zonal General De Agudos “Lucio Meléndez”","","Testeo","Gorriti","859","","","Almirante Brown","Almirante Brown","Buenos Aires","Región Sanitaria VI","4294-7196/9515 - 4294-5555/7219/1313","","","","","","","","","-34.8904605","-58.38192919999999","0.7",""
"Hospital Zonal General “Dr. Arturo Oñativia”","","Testeo","Ramon Carrillo","1339","","","Rafael Calzada","Almirante Brown","Buenos Aires","Región Sanitaria VI","4219-5040/42/43/44/46/47/48","","","","","","","","","-34.7862446","-58.35171810000001","0.9",""
"Centro Municipal de Almirante Brown","","Testeo","Gorriti","888","","","Burzaco","Almirante Brown","Buenos Aires","Región Sanitaria VI","011-42140699","","","","","","","","","-34.8904605","-58.38192919999999","0.7",""
"Hospital Municipal Sta. Fca. Romana","","Testeo","Av. Dardo Rocha","79","5º","","Arrecifes","Arrecifes","Buenos Aires","Región Sanitaria IV","(02478)-451319/451320/454478/451099","","","","","","","","","-34.06278229999999","-60.1027115","0.5",""
"Hospital Subzonal Especializado Materno Infantil “Ana Goitía”","","Testeo","L.V. López","1737","","","Avellaneda","Avellaneda","Buenos Aires","Región Sanitaria VI","4204-7038/8210/8451","","","","","","","","","-34.6654639","-58.3512844","0.9",""
"Hospital Interzonal General de Agudos “Presidente Perón”","","Testeo","A. France","773","","","Avellaneda","Avellaneda","Buenos Aires","Región Sanitaria VI","4204-0133","","","","","","","","","-34.6555202","-58.3576735","0.9",""
"Hospital Interzonal General de Agudos “Dr Pedro Fiorito”","","Testeo","Belgrano","850","","","Avellaneda","Avellaneda","Buenos Aires","Región Sanitaria VI","4201-5555 4201-3081/7","","","","","","","","","-34.6655715","-58.36565719999999","0.9",""
"Hospital Zonal Esp. Materno Infantil “Victorio Tettamanti”","","Testeo","Entre Ríos","51","","","Azul","Azul","Buenos Aires","Región Sanitaria IX","02281-42-2063/4150","","","","","","","","","-36.6598963","-56.6805807","0.9",""
"Servicio de Psiquiatría de Azul","","Testeo","Santa Fé","270","","","Azul","Azul","Buenos Aires","Región Sanitaria IX","02281-42-2746","","","","","","","","","-33.8881469","-60.5589555","0.9",""
"Unidad Sanitaria Latino","","Testeo","Lugones","46","","","Bahia Blanca","Bahia Blanca","Buenos Aires","Región Sanitaria I","(0291) 488-9859","","","","","","","","","-38.6906827","-62.3042406","0.9",""
"Unidad Sanitaria Luján","","Testeo","Enrique Julio","806","","","Bahia Blanca","Bahia Blanca","Buenos Aires","Región Sanitaria I","(0291) 488-8351","","","","","","","","","-38.7080841","-62.2997747","0.9",""
