establecimiento,tipo,distribución-testeo,calle,altura,piso_depto,cruce,barrio_localidad,partido_comuna_dpto,provincia,región sanitaria,teléfono,horario atención,web,mail,unidad coordinadora,responsable,UC mail,UC web,observaciones
Hospital Zonal General de Agudos “Julio de Vedia”,,Testeo,Tomás Cosentino ,1223,,,9 de Julio,9 de Julio,Buenos Aires,Región Sanitaria II,(02317) 43-0004/0025/0525/0125,,,direccion-vedia@ms.gba.gov.ar,,,,,
Hospital Zonal General De Agudos “Lucio Meléndez”,,Testeo,Gorriti ,859,,,Almirante Brown,Almirante Brown,Buenos Aires,Región Sanitaria VI,4294-7196/9515 - 4294-5555/7219/1313,,,,,,,,
Hospital Zonal General “Dr. Arturo Oñativia”,,Testeo,Ramon Carrillo ,1339,,,Rafael Calzada,Almirante Brown,Buenos Aires,Región Sanitaria VI,4219-5040/42/43/44/46/47/48,,,,,,,,
Centro Municipal de Almirante Brown,,Testeo,Gorriti ,888,,,Burzaco,Almirante Brown,Buenos Aires,Región Sanitaria VI,011-42140699,,,,,,,,
Hospital Municipal Sta. Fca. Romana,,Testeo,Av. Dardo Rocha,79,5º,,Arrecifes,Arrecifes,Buenos Aires,Región Sanitaria IV,(02478)-451319/451320/454478/451099,,,,,,,,
Hospital Subzonal Especializado Materno Infantil “Ana Goitía”,,Testeo,L.V. López ,1737,,,Avellaneda,Avellaneda,Buenos Aires,Región Sanitaria VI,4204-7038/8210/8451,,,,,,,,
Hospital Interzonal General de Agudos “Presidente Perón”,,Testeo,A. France ,773,,,Avellaneda,Avellaneda,Buenos Aires,Región Sanitaria VI,4204-0133,,,,,,,,
Hospital Interzonal General de Agudos “Dr Pedro Fiorito”,,Testeo,Belgrano ,850,,,Avellaneda,Avellaneda,Buenos Aires,Región Sanitaria VI,4201-5555 4201-3081/7,,,,,,,,
Hospital Zonal Esp. Materno Infantil “Victorio Tettamanti”,,Testeo,Entre Ríos,51,,,Azul,Azul,Buenos Aires,Región Sanitaria IX,02281-42-2063/4150,,,,,,,,
Servicio de Psiquiatría de Azul,,Testeo,Santa Fé,270,,,Azul,Azul,Buenos Aires,Región Sanitaria IX,02281-42-2746,,,,,,,,
Unidad Sanitaria Latino,,Testeo,Lugones,46,,,Bahia Blanca,Bahia Blanca,Buenos Aires,Región Sanitaria I,(0291) 488-9859,,,,,,,,
Unidad Sanitaria Luján,,Testeo,Enrique Julio ,806,,,Bahia Blanca,Bahia Blanca,Buenos Aires,Región Sanitaria I,(0291) 488-8351,,,,,,,,
Unidad Sanitaria Villa Floresta,,Testeo,Jose Ingenieros,2235,,,Bahia Blanca,Bahia Blanca,Buenos Aires,Región Sanitaria I,(0291) 488-8365,,,,,,,,
Hospital Penna,,Testeo,Lainez,,,Necochea,Bahia Blanca,Bahia Blanca,Buenos Aires,Región Sanitaria I,(0291) 459-3600,,,,,,,,
Unidad Sanitaria Avellaneda,,Testeo,Nicaragua ,2953,,,Bahia Blanca,Bahia Blanca,Buenos Aires,Región Sanitaria I,(0291) 488-8350,,,,,,,,
Unidad Sanitaria Estomba,,Testeo,Viamonte,2853,,,Bahia Blanca,Bahia Blanca,Buenos Aires,Región Sanitaria I,(0291) 488-8267,,,,,,,,
Unidad Sanitaria Nueva Belgrano,,Testeo,Witcomb,3900,,,Bahia Blanca,Bahia Blanca,Buenos Aires,Región Sanitaria I,(0291) 488-8268,,,,,,,,
Hospital Subzonal Dr. Piñeiro,,,T. Roselli ,1170,,,Baradero,Baradero,Buenos Aires,Región Sanitaria IV,(03329)-480004 / 480321,,,,,,,,
Hospital Interzonal General de Agudos “Evita Pueblo”,,,136,,,e/ 27 y 30,Berazategui,Berazategui,Buenos Aires,Región Sanitaria VI,4223-2737/2992/97,,,,,,,,
Hospital Zonal General de Agudos “Dr Larrain”,,,Londres,4453,,,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Centro de Integración Comunitaria (Barrio Obrero),,,169,,,33,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 17 (Los Talas),,,45,,,e/171 y 172,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 18 (Villa Zula),,,38,,,e/175 y 176,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 19 (Villa arguello),,,124,,,e/62 y 63,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 35 (El Carmen),,,37,,,e/126 y 127,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 41 (Villa Corbalán) ,,,13,,,e/153 Y 154,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 42 (Villa España),,,27,,,164,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 43 (Villa Nueva),,,145,,,e/ 6 y 7,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Unidad Sanitaria N° 44 (Villa Progreso Faes),,,77,,,e/122 Bis y 123,Berisso,Berisso,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Hospital Municipal “Dr. Francisco Caram”.,,,Ruta 29,"Km. 1,5",,,Brandsen,Brandsen,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Centro Salud Las Mandarinas,,,Azcuénaga,,,e/ Hansen y Magdalena de Fait,Brandsen,Brandsen,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Centro de Salud Altamirano,,,Sebastián Echeverría,,,Los Nogales,Brandsen,Brandsen,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Centro de Salud Jepenner,,,Sargiotti,,,Moreno,Brandsen,Brandsen,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Hospital Subzonal Especializado de Rehabilitación “Dr. José María Jorge”,,,Gorriti ,300,,,Burzaco,Burzaco,Buenos Aires,Región Sanitaria VI,4294-8308/8100,,,,,,,,
Centro Municipal de Almirante Brown,,,Gorriti ,888,,,Burzaco,Burzaco,Buenos Aires,Región Sanitaria VI,011-42140699,,,,,,,,
