establecimiento,tipo,calle,altura,piso_dpto,cruce,barrio_localidad,partido_comuna,provincia_region,pais,LatLong,preservativos,testeo,vacunatorio,infectologia,tel_testeo,horario_testeo,web_testeo,mail_testeo,responsable_testeo,observaciones_testeo,tel_distrib,horario_distrib,responsable_distrib,web_distrib,mail_distrib,ubicación_distrib,comentarios_distrib,tel_infectologia,mail_infectologia,responsable_infectologia,tel_vac,mail_vac,responsable_vac
Amerika,Disco,Gascón,1040,,,Almagro,Almagro,CABA,Argentina,,SI,NO,NO,NO,,,,,,,,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Ammar Capital,,Carlos Calvo,2365,1,,San Cristóbal,San Cristóbal,CABA,Argentina,,SI,NO,NO,NO,,,,,,,4308-1001,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Argentina Gay Radio,Radio,Av. Independencia,2041,12 F,,San Cristóbal,San Cristóbal,CABA,Argentina,,SI,NO,NO,NO,,,,,,,,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Asociación Benghalensis,Asociación,Av. Leopoldo Marechal,830,,,Villa Crespo,Villa Crespo,CABA,Argentina,,SI,NO,NO,NO,,,,,,,4982-0199,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Asociación Civil Acción Solidaria,Asociación,,sin número,,,Barrio Illia,Barrio Illia,CABA,Argentina,,SI,NO,NO,NO,,,,,,,,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Asociación Civil Amor Al Niño,Asociación,,sin número,,,Villa 15 (ciudad Oculta),Villa 15 (ciudad Oculta),CABA,Argentina,,SI,NO,NO,NO,,,,,,,,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Asociación Civil Bajo Flores,Asociación,,sin número,,,Barrio Rivadavia,Barrio Rivadavia,CABA,Argentina,,SI,NO,NO,NO,,,,,,,,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Asociación Civil Bandera Solidaria,Asociación,Sarandí,1089,,,San Cristóbal,San Cristóbal,CABA,Argentina,,SI,NO,NO,NO,,,,,,,4942-6137,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Asociación Civil Centro De Estudios Y Participación De La Comunidad,Asociación,Pasco,1331,,,San Cristóbal,San Cristóbal,CABA,Argentina,,SI,NO,NO,NO,,,,,,,4308-2987,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
Asociación Civil Ciudad Luz Acción Solidaria,Asociación,,sin número,,,Villa 15 (ciudad Oculta),Villa 15 (ciudad Oculta),CABA,Argentina,,SI,NO,NO,NO,,,,,,,,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,
